SURPRISE,SUBJECT,Session,Cue,Y,,,,
Surprise,1,1,Light ,0.6,,,,
Surprise,1,1,Tone,1.8,,,,
Surprise,1,2,Light ,2.6,,,,
Surprise,1,2,Tone,3.2,,,,
Surprise,1,3,Light ,2.1,,,,
Surprise,1,3,Tone,3.7,,,,
Surprise,1,4,Light ,2.7,,,,
Surprise,1,4,Tone,4.4,,,,
Surprise,1,5,Light ,2.3,,,,
Surprise,1,5,Tone,3.2,,,,
Surprise,1,6,Light ,2,,,,
Surprise,1,6,Tone,3.8,,,,
Surprise,1,7,Light ,3.1,,,,
Surprise,1,7,Tone,5.8,,,,
Surprise,1,8,Light ,4.3,,,,
Surprise,1,8,Tone,7.2,,,,
Surprise,1,9,Light ,4.1,,,,
Surprise,1,9,Tone,7.6,,,,
Surprise,1,10,Light ,2.6,,,,
Surprise,1,10,Tone,8.1,,,,
Surprise,2,1,Light ,0.8,,,,
Surprise,2,1,Tone,2,,,,
Surprise,2,2,Light ,4.4,,,,
Surprise,2,2,Tone,7.2,,,,
Surprise,2,3,Light ,1.7,,,,
Surprise,2,3,Tone,4.8,,,,
Surprise,2,4,Light ,3.8,,,,
Surprise,2,4,Tone,7,,,,
Surprise,2,5,Light ,3.4,,,,
Surprise,2,5,Tone,4.4,,,,
Surprise,2,6,Light ,2.5,,,,
Surprise,2,6,Tone,6,,,,
Surprise,2,7,Light ,2.4,,,,
Surprise,2,7,Tone,7.3,,,,
Surprise,2,8,Light ,2.9,,,,
Surprise,2,8,Tone,7.8,,,,
Surprise,2,9,Light ,1.8,,,,
Surprise,2,9,Tone,6.8,,,,
Surprise,2,10,Light ,2.2,,,,
Surprise,2,10,Tone,6.8,,,,
Surprise,3,1,Light ,1.1,,,,
Surprise,3,1,Tone,1.6,,,,
Surprise,3,2,Light ,2,,,,
Surprise,3,2,Tone,5.2,,,,
Surprise,3,3,Light ,3.5,,,,
Surprise,3,3,Tone,5.5,,,,
Surprise,3,4,Light ,3.8,,,,
Surprise,3,4,Tone,5.9,,,,
Surprise,3,5,Light ,1.8,,,,
Surprise,3,5,Tone,5.2,,,,
Surprise,3,6,Light ,1.4,,,,
Surprise,3,6,Tone,4.8,,,,
Surprise,3,7,Light ,0.4,,,,
Surprise,3,7,Tone,4.2,,,,
Surprise,3,8,Light ,1.5,,,,
Surprise,3,8,Tone,4.4,,,,
Surprise,3,9,Light ,1.6,,,,
Surprise,3,9,Tone,4.6,,,,
Surprise,3,10,Light ,1.3,,,,
Surprise,3,10,Tone,6,,,,
Surprise,4,1,Light ,0.5,,,,
Surprise,4,1,Tone,0.7,,,,
Surprise,4,2,Light ,3.6,,,,
Surprise,4,2,Tone,5.2,,,,
Surprise,4,3,Light ,3,,,,
Surprise,4,3,Tone,4.9,,,,
Surprise,4,4,Light ,2.1,,,,
Surprise,4,4,Tone,4.7,,,,
Surprise,4,5,Light ,1.1,,,,
Surprise,4,5,Tone,3.2,,,,
Surprise,4,6,Light ,1,,,,
Surprise,4,6,Tone,2.8,,,,
Surprise,4,7,Light ,0.9,,,,
Surprise,4,7,Tone,2.1,,,,
Surprise,4,8,Light ,0.5,,,,
Surprise,4,8,Tone,2.2,,,,
Surprise,4,9,Light ,0.7,,,,
Surprise,4,9,Tone,2.8,,,,
Surprise,4,10,Light ,0.7,,,,
Surprise,4,10,Tone,1.7,,,,
Surprise,5,1,Light ,1.7,,,,
Surprise,5,1,Tone,2.7,,,,
Surprise,5,2,Light ,2.2,,,,
Surprise,5,2,Tone,3.9,,,,
Surprise,5,3,Light ,5.3,,,,
Surprise,5,3,Tone,6.1,,,,
Surprise,5,4,Light ,5.9,,,,
Surprise,5,4,Tone,6.3,,,,
Surprise,5,5,Light ,6.1,,,,
Surprise,5,5,Tone,9.6,,,,
Surprise,5,6,Light ,7.4,,,,
Surprise,5,6,Tone,14.2,,,,
Surprise,5,7,Light ,5.9,,,,
Surprise,5,7,Tone,13.1,,,,
Surprise,5,8,Light ,4,,,,
Surprise,5,8,Tone,13.4,,,,
Surprise,5,9,Light ,4.5,,,,
Surprise,5,9,Tone,12.2,,,,
Surprise,5,10,Light ,4,,,,
Surprise,5,10,Tone,13.3,,,,
Surprise,6,1,Light ,0.1,,,,
Surprise,6,1,Tone,1.4,,,,
Surprise,6,2,Light ,1.2,,,,
Surprise,6,2,Tone,1.9,,,,
Surprise,6,3,Light ,1.8,,,,
Surprise,6,3,Tone,3.3,,,,
Surprise,6,4,Light ,2.3,,,,
Surprise,6,4,Tone,3.4,,,,
Surprise,6,5,Light ,1.3,,,,
Surprise,6,5,Tone,2.5,,,,
Surprise,6,6,Light ,2.5,,,,
Surprise,6,6,Tone,3.5,,,,
Surprise,6,7,Light ,1.9,,,,
Surprise,6,7,Tone,3.7,,,,
Surprise,6,8,Light ,1.8,,,,
Surprise,6,8,Tone,4.4,,,,
Surprise,6,9,Light ,0.7,,,,
Surprise,6,9,Tone,3,,,,
Surprise,6,10,Light ,2.3,,,,
Surprise,6,10,Tone,4.8,,,,
Surprise,7,1,Light ,0.6,,,,
Surprise,7,1,Tone,0.9,,,,
Surprise,7,2,Light ,2,,,,
Surprise,7,2,Tone,4.5,,,,
Surprise,7,3,Light ,2.1,,,,
Surprise,7,3,Tone,4.4,,,,
Surprise,7,4,Light ,2.7,,,,
Surprise,7,4,Tone,3.3,,,,
Surprise,7,5,Light ,4.1,,,,
Surprise,7,5,Tone,5.9,,,,
Surprise,7,6,Light ,4.1,,,,
Surprise,7,6,Tone,6.5,,,,
Surprise,7,7,Light ,3.3,,,,
Surprise,7,7,Tone,4.5,,,,
Surprise,7,8,Light ,5.7,,,,
Surprise,7,8,Tone,5.7,,,,
Surprise,7,9,Light ,5.7,,,,
Surprise,7,9,Tone,9.7,,,,
Surprise,7,10,Light ,5.5,,,,
Surprise,7,10,Tone,11.5,,,,
Surprise,8,1,Light ,1.9,,,,
Surprise,8,1,Tone,2.2,,,,
Surprise,8,2,Light ,2.7,,,,
Surprise,8,2,Tone,3.8,,,,
Surprise,8,3,Light ,1.6,,,,
Surprise,8,3,Tone,2.5,,,,
Surprise,8,4,Light ,1.3,,,,
Surprise,8,4,Tone,2.1,,,,
Surprise,8,5,Light ,1.7,,,,
Surprise,8,5,Tone,2.1,,,,
Surprise,8,6,Light ,2.2,,,,
Surprise,8,6,Tone,2.9,,,,
Surprise,8,7,Light ,1.4,,,,
Surprise,8,7,Tone,3.4,,,,
