SURPRISE,SUBJECT,Session,Cue,Y,
Surprise,1,1,Light ,4,
Surprise,1,1,Tone,7,
Surprise,1,2,Light ,3.2,
Surprise,1,2,Tone,5.2,
Surprise,1,3,Light ,3.1,
Surprise,1,3,Tone,7,
Surprise,1,4,Light ,2.2,
Surprise,1,4,Tone,9.6,
Surprise,2,1,Light ,1.2,
Surprise,2,1,Tone,6.4,
Surprise,2,2,Light ,2,
Surprise,2,2,Tone,6.4,
Surprise,2,3,Light ,0.9,
Surprise,2,3,Tone,5,
Surprise,2,4,Light ,2.6,
Surprise,2,4,Tone,6.4,
Surprise,3,1,Light ,0.4,
Surprise,3,1,Tone,6.2,
Surprise,3,2,Light ,0.4,
Surprise,3,2,Tone,6,
Surprise,3,3,Light ,0.6,
Surprise,3,3,Tone,6,
Surprise,3,4,Light ,0.7,
Surprise,3,4,Tone,5.8,
Surprise,4,1,Light ,0.8,
Surprise,4,1,Tone,2.6,
Surprise,4,2,Light ,0.4,
Surprise,4,2,Tone,4.2,
Surprise,4,3,Light ,1.2,
Surprise,4,3,Tone,4.6,
Surprise,4,4,Light ,0.9,
Surprise,4,4,Tone,3.4,
Surprise,5,1,Light ,3,
Surprise,5,1,Tone,9.4,
Surprise,5,2,Light ,4.4,
Surprise,5,2,Tone,12.4,
Surprise,5,3,Light ,5.5,
Surprise,5,3,Tone,10,
Surprise,5,4,Light ,5.5,
Surprise,5,4,Tone,14.8,
Surprise,6,1,Light ,2.1,
Surprise,6,1,Tone,4.2,
Surprise,6,2,Light ,1.4,
Surprise,6,2,Tone,5,
Surprise,6,3,Light ,1.3,
Surprise,6,3,Tone,4.4,
Surprise,6,4,Light ,1.1,
Surprise,6,4,Tone,4.6,
Surprise,7,1,Light ,5.4,
Surprise,7,1,Tone,15.4,
Surprise,7,2,Light ,5,
Surprise,7,2,Tone,16,
Surprise,7,3,Light ,2.7,
Surprise,7,3,Tone,12.6,
Surprise,7,4,Light ,9.9,
Surprise,7,4,Tone,18,
Surprise,8,1,Light ,1.6,
Surprise,8,1,Tone,4.8,
Surprise,8,2,Light ,1.3,
Surprise,8,2,Tone,5.8,
Surprise,8,3,Light ,2.2,
Surprise,8,3,Tone,6.2,
Surprise,8,4,Light ,2.8,
Surprise,8,4,Tone,6.8,
Surprise,9,1,Light ,2.3,
